,station_id,station_name,raccnt,station_lat,station_lon,ADM_NM,gu
74,ST-348,192. 연서어린이공원,10,37.572227,126.923065,연희동,서대문구
75,ST-350,194. 증산교 앞,10,37.577316,126.902969,북가좌1동,서대문구
76,ST-351,195. 모래내고가차도 ,10,37.567657,126.917808,연희동,서대문구
77,ST-352,196. 연희교차로 인근,10,37.56612,126.925895,연희동,서대문구
78,ST-443,199. 서울 월드컵 경기장,30,37.566844,126.896446,성산2동,마포구
79,ST-45,200. 국회의원회관,18,37.528415,126.913917,여의동,영등포구
80,ST-46,201. 진미파라곤 앞,15,37.531238,126.921333,여의동,영등포구
81,ST-47,202. 국민일보 앞,30,37.528816,126.92453,여의동,영등포구
82,ST-51,203. 국회의사당역 3번출구 옆,15,37.528057,126.918701,여의동,영등포구
83,ST-50,204. 국회의사당역 5번출구 옆,13,37.528163,126.917022,여의동,영등포구
84,ST-52,205. 산업은행 앞,20,37.526264,126.920509,여의동,영등포구
85,ST-53,206. KBS 앞,35,37.524665,126.918022,여의동,영등포구
86,ST-73,207. 여의나루역 1번출구 앞,46,37.527156,126.9319,여의동,영등포구
87,ST-55,209. 유진투자증권빌딩 앞,12,37.524612,126.927833,여의동,영등포구
88,ST-59,213. KT앞,19,37.521907,126.918952,여의동,영등포구
89,ST-60,214. 금융감독원 앞,21,37.523021,126.920837,여의동,영등포구
90,ST-64,215. 여의도고교 앞,10,37.524837,126.934906,여의동,영등포구
91,ST-66,217. NH농협은행 앞,15,37.522079,126.930366,여의동,영등포구
92,ST-62,219. 롯데캐슬엠파이어 옆,12,37.520694,126.925834,여의동,영등포구
93,ST-63,220. 미성아파트 A동 앞,30,37.519363,126.926048,여의동,영등포구
94,ST-67,221. 여의도초교 앞,10,37.522674,126.937789,여의동,영등포구
95,ST-68,222. 시범아파트버스정류장 옆,12,37.51902,126.936889,여의동,영등포구
96,ST-69,223. 진주아파트상가 앞,20,37.51913,126.933372,여의동,영등포구
97,ST-70,224. 롯데캐슬 앞,20,37.520088,126.932365,여의동,영등포구
98,ST-71,225. 앙카라공원 앞,26,37.517585,126.929618,여의동,영등포구
99,ST-72,226. 샛강역 1번출구 앞,19,37.517765,126.928413,여의동,영등포구
100,ST-277,227. 양평2나들목 보행통로 입구,20,37.544666,126.888359,양평2동,영등포구
101,ST-278,228. 선유도역 3번출구 앞,10,37.538459,126.894508,양평2동,영등포구
102,ST-279,229. 양평1 보행육교 앞,25,37.535873,126.892181,양평2동,영등포구
103,ST-413,230. 영등포구청역 1번출구,13,37.524635,126.896217,당산1동,영등포구
104,ST-280,231. 남부고용노동지청 남측,10,37.524505,126.891822,양평1동,영등포구
105,ST-281,232. 양평우림 이비즈센타 앞,20,37.52565,126.887817,양평1동,영등포구
106,ST-282,233. 양평1동 YP센터 앞,10,37.528488,126.891647,양평1동,영등포구
107,ST-284,235. 신길동 우리은행 옆,10,37.504566,126.910232,신길3동,영등포구
108,ST-285,236. 문래동자이아파트 앞,10,37.516155,126.894615,문래동,영등포구
109,ST-286,237. 보라매 두산위브 건너편,20,37.496513,126.914802,신대방2동,동작구
110,ST-287,238. 제2구민체육센타 앞,10,37.526386,126.902755,당산2동,영등포구
111,ST-288,239. 유스호스텔 앞,20,37.525852,126.903282,영등포동,영등포구
112,ST-289,240. 문래역 4번출구 앞,10,37.518737,126.895576,문래동,영등포구
113,ST-290,241. 신길우성1차아파트 앞 공원,10,37.505016,126.898536,도림동,영등포구
114,ST-291,242. 신길선원가와인아파트 앞,15,37.510932,126.910224,영등포본동,영등포구
115,ST-292,243. 이앤씨드림타워 앞,15,37.527084,126.89138,양평1동,영등포구
116,ST-293,244. 영등포삼환아파트 앞,20,37.530078,126.905708,영등포동,영등포구
117,ST-294,245. 삼성생명 당산사옥 앞,14,37.528263,126.896629,당산2동,영등포구
118,ST-295,247. 당산역 10번출구 앞,14,37.53342,126.902236,당산2동,영등포구
119,ST-296,248. 초원아파트 앞,10,37.531055,126.924209,여의동,영등포구
120,ST-297,249. 여의도중학교 옆,16,37.524349,126.936119,여의동,영등포구
121,ST-298,250. 대림아파트 사거리,10,37.50764,126.92308,신길7동,영등포구
122,ST-299,251. 서울지방병무청 버스정류장,10,37.504493,126.921951,신길7동,영등포구
123,ST-300,252. 보라매역4번출구,10,37.499828,126.919944,신길6동,영등포구
124,ST-302,254. 도림신협 앞,10,37.503803,126.903419,신길3동,영등포구
125,ST-303,255. 도림사거리,15,37.506572,126.90113,신길3동,영등포구
126,ST-304,256. 동아에코빌입구,10,37.509475,126.899299,도림동,영등포구
127,ST-306,258. 신길역3번출구,14,37.517692,126.914299,영등포동,영등포구
128,ST-307,259. 대방역6번출구,17,37.513591,126.925933,신길7동,영등포구
129,ST-414,260. 여의도 마리나선착장 앞,15,37.533657,126.912162,여의동,영등포구
130,ST-416,262. 영문초등학교 사거리,12,37.519927,126.889183,문래동,영등포구
131,ST-417,263. 근로자회관 사거리,12,37.51715,126.888626,문래동,영등포구
132,ST-418,264. 교보생명보험 앞,15,37.52193,126.891616,당산1동,영등포구
133,ST-419,265. 영등포유통상가 사거리,11,37.521133,126.896537,당산1동,영등포구
134,ST-420,266. 영등포청과시장 사거리,10,37.520294,126.901191,영등포동,영등포구
135,ST-421,267. 삼성화재 사옥 옆,10,37.535961,126.8983,양평2동,영등포구
136,ST-422,268. 그랜드컨벤션센터 앞,6,37.534717,126.900001,당산2동,영등포구
137,ST-424,270. 증권거래소후문교차로,10,37.522342,126.927101,여의동,영등포구
138,ST-425,271. 샛강생태공원방문자센터 앞,10,37.518962,126.921615,여의동,영등포구
139,ST-426,272. 당산육갑문,20,37.535339,126.903678,당산2동,영등포구
140,ST-1320,275. 신동아아파트,10,37.522697,126.885681,양평1동,영등포구
141,ST-1321,276. 영등포로터리2,10,37.518283,126.912635,영등포동,영등포구
142,ST-1323,278. 쌍용플레티넘오피스텔,10,37.50793,126.895233,도림동,영등포구
143,ST-1353,279. 영등포 푸르지오 아파트 B,15,37.513229,126.904464,영등포본동,영등포구
144,ST-1539,280. 양평동6차현대아파트 앞,10,37.5321,126.894439,양평2동,영등포구
145,ST-1540,281. 대림신동아아파트 앞,8,37.498241,126.893981,구로5동,구로구
146,ST-1541,282. 신한은행 대림동지점,10,37.487529,126.904876,대림2동,영등포구
147,ST-1649,283. 아크로타워 스퀘어(영등포시장),15,37.522518,126.907218,영등포동,영등포구
148,ST-1650,284. 센트럴 푸르지오 시티 앞,16,37.518211,126.902229,영등포동,영등포구
149,ST-1651,285. 콤텍시스템 앞,14,37.499858,126.897239,대림3동,영등포구
150,ST-1652,286. 우성아파트 교차로,12,37.494571,126.899749,대림2동,영등포구
151,ST-1653,287. 영등포전화국사거리 (서강어린이공원),10,37.525768,126.905738,영등포동,영등포구
152,ST-1677,288. 쌍용예가(구청별관),10,37.528099,126.893386,당산1동,영등포구
153,ST-1697,289. 대림3동사거리,10,37.499809,126.898002,대림3동,영등포구
154,ST-1698,290. 새말소공원,12,37.531509,126.897827,당산2동,영등포구
155,ST-1699,291. 문래동 하이테크 시티,14,37.514129,126.899391,문래동,영등포구
156,ST-1700,292. 영일 어린이공원,10,37.51012,126.904067,영등포본동,영등포구
157,ST-1701,293. 충북 미래관,15,37.52917,126.907577,당산2동,영등포구
158,ST-1967,295.영등포공원 분수대 앞,10,37.514812,126.911705,영등포본동,영등포구
159,ST-1968,296.KT플라자 영등포점,20,37.526302,126.90538,영등포동,영등포구
160,ST-1969,297.국회3문,10,37.528636,126.912673,여의동,영등포구
161,ST-1970,298.KBS 연구동 건너편,25,37.527507,126.914299,여의동,영등포구
162,ST-1971,299.여의도 순복음교회,10,37.531791,126.922454,여의동,영등포구
163,ST-116,300. 정동사거리,6,37.56805,126.96923,소공동,중구
164,ST-117,301. 경복궁역 7번출구 앞,20,37.575794,126.97145,사직동,종로구
165,ST-118,302. 경복궁역 4번출구 뒤,12,37.575946,126.97406,사직동,종로구
166,ST-119,303. 광화문역 1번출구 앞,8,37.571769,126.974662,사직동,종로구
167,ST-121,305. 종로구청 옆,16,37.572559,126.978332,종로1·2·3·4가동,종로구
168,ST-123,307. 서울역사박물관 앞,11,37.569999,126.971099,사직동,종로구
169,ST-124,308. 광화문 S타워 앞,31,37.569969,126.973937,사직동,종로구
170,ST-125,309. 광화문역 6번출구 옆 B,13,37.569961,126.976158,사직동,종로구
171,ST-126,310. 청계광장 옆,8,37.568878,126.97747,명동,중구
172,ST-130,314. 국립현대미술관,10,37.579708,126.980857,삼청동,종로구
173,ST-132,316. 종각역 1번출구 앞,8,37.570396,126.981788,종로1·2·3·4가동,종로구
174,ST-134,318. 광교사거리 남측,10,37.568634,126.982315,명동,중구
175,ST-136,320. 을지로입구역 4번출구 앞,17,37.566223,126.983589,명동,중구
176,ST-137,321. KEB 하나금융그룹 명동사옥 옆,15,37.565464,126.984138,명동,중구
177,ST-138,322. 명동성당 앞,10,37.564476,126.986968,명동,중구
178,ST-140,324. 신세계백화점 본점 앞,8,37.561344,126.980506,소공동,중구
179,ST-142,326. 안국역 5번출구 앞,15,37.57624,126.98616,종로1·2·3·4가동,종로구
180,ST-143,327. 낙원상가 옆,10,37.573356,126.987464,종로1·2·3·4가동,종로구
181,ST-144,328. 탑골공원 앞,11,37.570396,126.988189,종로1·2·3·4가동,종로구
182,ST-145,329. 청계2가 사거리 옆,8,37.568485,126.987884,종로1·2·3·4가동,종로구
183,ST-147,331. 을지로2가 사거리 북측,10,37.566383,126.987205,명동,중구
184,ST-148,332. 을지로2가 사거리 남측,5,37.56599,126.987792,명동,중구
185,ST-150,334. 종로3가역 2번출구 뒤,10,37.570598,126.99179,종로1·2·3·4가동,종로구
