#station_id | station_name | raccnt | station_lat | station_lon
9ST-4|102. 망원역 1번출구 앞|15|37.555648|126.910629
ST-5|103. 망원역 2번출구 앞|14|37.554950|126.910835
ST-6|104. 합정역 1번출구 앞|13|37.550739|126.915084
ST-7|105. 합정역 5번출구 앞|5|37.550006|126.914825
ST-8|106. 합정역 7번출구 앞|12|37.548645|126.912826
ST-9|107. 신한은행 서교동지점|5|37.557510|126.918502
ST-10|108. 서교동 사거리|12|37.552745|126.918617
ST-15|111. 상수역 2번출구 앞|10|37.547870|126.923530
ST-16|112. 극동방송국 앞|10|37.549201|126.923202
ST-18|113. 홍대입구역 2번출구 앞|25|37.557437|126.923820
ST-20|114. 홍대입구역 8번출구 앞|15|37.557060|126.924423
ST-12|115. 마스타 빌딩 앞|15|37.558933|126.927116
ST-17|117. 홍은사거리|23|37.591159|126.941329
ST-19|118. 광흥창역 2번출구 앞|9|37.547733|126.931762
ST-21|119. 서강나루 공원|10|37.545207|126.931465
ST-22|120. 신수동 사거리|5|37.545242|126.934112
ST-23|121. 마포소방서 앞|15|37.549766|126.933174
ST-24|122. 신성기사식당 앞|10|37.547458|126.938377
ST-25|123. 문화촌 공원|20|37.594329|126.947387
ST-26|124. 서강대 정문 건너편|35|37.551139|126.936988
ST-28|126. 서강대 후문 옆|20|37.550411|126.943847
ST-29|127. 현대벤처빌 앞|9|37.553520|126.936950
ST-30|128. 신촌역(2호선) 1번출구 옆|20|37.555496|126.936340
ST-31|129. 신촌역(2호선) 6번출구 옆|10|37.555053|126.937568
ST-32|130. 신촌역(2호선) 7번출구 앞|10|37.554859|126.936157
ST-33|131. 증산2교|20|37.584171|126.911102
ST-35|133. 해담는다리|15|37.582031|126.908996
ST-36|134. 연세로 명물길|8|37.557891|126.938079
ST-37|135. 명물길 원형무대 앞|10|37.559226|126.939842
ST-39|137. 신촌기차역입구 교차로|10|37.556812|126.943183
ST-40|138. 신촌동 제1공영주차장 앞|10|37.559177|126.934524
ST-43|139. 연세대 정문 건너편|10|37.559864|126.934417
ST-41|140. 이화여대 후문|22|37.560009|126.940734
ST-42|141. 연대 대운동장 옆|10|37.562381|126.932647
ST-200|142. 아현역 4번출구 앞|11|37.557201|126.955665
ST-201|143. 공덕역 2번출구|9|37.544578|126.950218
ST-202|144. 공덕역 8번출구|10|37.543579|126.951324
ST-203|145. 공덕역 5번출구|9|37.544250|126.951637
ST-204|146. 마포역 2번출구 뒤|12|37.539936|126.945823
ST-205|147. 마포역 4번출구 뒤|7|37.539272|126.945915
ST-206|148. 용강동 주민센터 앞|11|37.542346|126.943023
ST-207|150. 서강대역 2번출구 앞|15|37.552955|126.934341
ST-210|153. 성산2교 사거리|10|37.564697|126.912612
ST-211|154. 마포구청역 |13|37.560909|126.905494
ST-212|155. 가좌역1 번출구 앞|15|37.568294|126.915046
ST-213|156. 서울서부지방법원 앞|10|37.549331|126.954917
ST-214|157. 애오개역 4번출구 앞|12|37.553001|126.956687
ST-216|159. 이대역 4번 출구|5|37.556953|126.946342
ST-217|160. 북아현동 가구거리|13|37.557548|126.959381
ST-218|161. 무악재역1번 출구|8|37.582244|126.950645
ST-219|162. 봉원고가차도 밑|15|37.566261|126.946670
ST-220|163. 명지전문대학교 정문 앞|6|37.583698|126.924964
ST-221|164. 북가좌1동 주민센터 |10|37.574478|126.910049
ST-222|165. 중앙근린공원|20|37.575138|126.913940
ST-223|166. 가재울 초등학교|20|37.573818|126.919235
ST-224|167. 연가초등학교 옆|15|37.579460|126.917129
ST-226|169. 북가좌 삼거리|10|37.573001|126.907798
ST-227|170. DMC파크뷰자이아파트 302동 앞|10|37.573112|126.922447
ST-228|171. 임광빌딩 앞|10|37.564723|126.967277
ST-230|173. 서대문역 8번출구 앞|8|37.564777|126.966148
ST-231|175. 홍연2교옆|20|37.578067|126.930885
ST-555|176. 명지대학교 도서관|10|37.581096|126.924026
ST-345|177. 북가좌 초등학교|8|37.577636|126.909652
ST-349|178. 증산3교 앞|10|37.579875|126.906349
ST-232|179. 가좌역 4번출구 앞|14|37.568775|126.915298
ST-233|180. 충정로역 7번출구 아래|10|37.559967|126.962463
ST-339|181. 망원초록길 입구|15|37.551342|126.902671
ST-340|182. 망원2빗물펌프장 앞|9|37.551364|126.903060
ST-341|183. 하늘채코오롱아파트 건너편|15|37.565387|126.919326
ST-342|184. 7번가피자 서교망원점|8|37.558948|126.907752
ST-343|185. 마포 신수공원 앞|15|37.542545|126.934295
ST-344|186. 월드컵공원|40|37.563964|126.898208
ST-346|188. 홍은동 정원여중 입구|9|37.586387|126.935127
ST-347|191. 서우빌딩|10|37.578891|126.910736
ST-348|192. 연서어린이공원|10|37.572227|126.923065
ST-350|194. 증산교 앞|10|37.577316|126.902969
ST-351|195. 모래내고가차도 |10|37.567657|126.917808
ST-352|196. 연희교차로 인근|10|37.566120|126.925895
ST-443|199. 서울 월드컵 경기장|30|37.566844|126.896446
ST-45|200. 국회의원회관|18|37.528415|126.913917
ST-46|201. 진미파라곤 앞|15|37.531238|126.921333
ST-47|202. 국민일보 앞|30|37.528816|126.924530
ST-51|203. 국회의사당역 3번출구 옆|15|37.528057|126.918701
ST-50|204. 국회의사당역 5번출구 옆|13|37.528163|126.917022
ST-52|205. 산업은행 앞|20|37.526264|126.920509
ST-53|206. KBS 앞|35|37.524665|126.918022
ST-73|207. 여의나루역 1번출구 앞|46|37.527156|126.931900
ST-55|209. 유진투자증권빌딩 앞|12|37.524612|126.927833
ST-59|213. KT앞|19|37.521907|126.918952
ST-60|214. 금융감독원 앞|21|37.523021|126.920837
ST-64|215. 여의도고교 앞|10|37.524837|126.934906
ST-66|217. NH농협은행 앞|15|37.522079|126.930366
ST-62|219. 롯데캐슬엠파이어 옆|12|37.520694|126.925834
ST-63|220. 미성아파트 A동 앞|30|37.519363|126.926048
ST-67|221. 여의도초교 앞|10|37.522674|126.937789
ST-68|222. 시범아파트버스정류장 옆|12|37.519020|126.936889
ST-69|223. 진주아파트상가 앞|20|37.519130|126.933372
ST-70|224. 롯데캐슬 앞|20|37.520088|126.932365
ST-71|225. 앙카라공원 앞|26|37.517585|126.929618
ST-72|226. 샛강역 1번출구 앞|19|37.517765|126.928413
ST-277|227. 양평2나들목 보행통로 입구|20|37.544666|126.888359
ST-278|228. 선유도역 3번출구 앞|10|37.538459|126.894508
ST-279|229. 양평1 보행육교 앞|25|37.535873|126.892181
ST-413|230. 영등포구청역 1번출구|13|37.524635|126.896217
ST-280|231. 남부고용노동지청 남측|10|37.524505|126.891822
ST-281|232. 양평우림 이비즈센타 앞|20|37.525650|126.887817
ST-282|233. 양평1동 YP센터 앞|10|37.528488|126.891647
ST-284|235. 신길동 우리은행 옆|10|37.504566|126.910232
ST-285|236. 문래동자이아파트 앞|10|37.516155|126.894615
ST-286|237. 보라매 두산위브 건너편|20|37.496513|126.914802
ST-287|238. 제2구민체육센타 앞|10|37.526386|126.902755
ST-288|239. 유스호스텔 앞|20|37.525852|126.903282
ST-289|240. 문래역 4번출구 앞|10|37.518737|126.895576
ST-290|241. 신길우성1차아파트 앞 공원|10|37.505016|126.898536
ST-291|242. 신길선원가와인아파트 앞|15|37.510932|126.910224
ST-292|243. 이앤씨드림타워 앞|15|37.527084|126.891380
ST-293|244. 영등포삼환아파트 앞|20|37.530078|126.905708
ST-294|245. 삼성생명 당산사옥 앞|14|37.528263|126.896629
ST-295|247. 당산역 10번출구 앞|14|37.533420|126.902236
ST-296|248. 초원아파트 앞|10|37.531055|126.924209
ST-297|249. 여의도중학교 옆|16|37.524349|126.936119
ST-298|250. 대림아파트 사거리|10|37.507640|126.923080
ST-299|251. 서울지방병무청 버스정류장|10|37.504493|126.921951
ST-300|252. 보라매역4번출구|10|37.499828|126.919944
ST-302|254. 도림신협 앞|10|37.503803|126.903419
ST-303|255. 도림사거리|15|37.506572|126.901130
ST-304|256. 동아에코빌입구|10|37.509475|126.899299
ST-306|258. 신길역3번출구|14|37.517692|126.914299
ST-307|259. 대방역6번출구|17|37.513591|126.925933
ST-414|260. 여의도 마리나선착장 앞|15|37.533657|126.912162
