station_id,station_name,raccnt,station_lat,station_lon,ADM_NM,gu
102, 망원역 1번출구 앞 ,15,37.555648,126.910629,서교동,마포구
103, 망원역 2번출구 앞 ,14,37.55495,126.910835,망원1동,마포구
104, 합정역 1번출구 앞 ,13,37.550739,126.915084,서교동,마포구
105, 합정역 5번출구 앞 ,5,37.550006,126.914825,서교동,마포구
106, 합정역 7번출구 앞 ,12,37.548645,126.912826,합정동,마포구
107, 신한은행 서교동지점 ,5,37.55751,126.918502,서교동,마포구
108, 서교동 사거리 ,12,37.552745,126.918617,서교동,마포구
111, 상수역 2번출구 앞 ,10,37.54787,126.92353,서강동,마포구
112, 극동방송국 앞 ,10,37.549201,126.923202,서강동,마포구
113, 홍대입구역 2번출구 앞 ,25,37.557437,126.92382,서교동,마포구
114, 홍대입구역 8번출구 앞 ,15,37.55706,126.924423,서교동,마포구
115, 마스타 빌딩 앞 ,15,37.558933,126.927116,신촌동,서대문구
117, 홍은사거리 ,23,37.591159,126.941329,홍은2동,서대문구
118, 광흥창역 2번출구 앞 ,9,37.547733,126.931762,서강동,마포구
119, 서강나루 공원 ,10,37.545207,126.931465,신수동,마포구
120, 신수동 사거리 ,5,37.545242,126.934112,신수동,마포구
121, 마포소방서 앞 ,15,37.549766,126.933174,신수동,마포구
122, 신성기사식당 앞 ,10,37.547458,126.938377,신수동,마포구
123, 문화촌 공원 ,20,37.594329,126.947387,홍제3동,서대문구
124, 서강대 정문 건너편 ,35,37.551139,126.936988,대흥동,마포구
126, 서강대 후문 옆 ,20,37.550411,126.943847,대흥동,마포구
127, 현대벤처빌 앞 ,9,37.55352,126.93695,대흥동,마포구
128, 신촌역(2호선) 1번출구 옆 ,20,37.555496,126.93634,신촌동,서대문구
129, 신촌역(2호선) 6번출구 옆 ,10,37.555053,126.937568,대흥동,마포구
130, 신촌역(2호선) 7번출구 앞 ,10,37.554859,126.936157,서교동,마포구
131, 증산2교 ,20,37.584171,126.911102,북가좌2동,서대문구
133, 해담는다리 ,15,37.582031,126.908996,북가좌2동,서대문구
134, 연세로 명물길 ,8,37.557891,126.938079,신촌동,서대문구
135, 명물길 원형무대 앞 ,10,37.559226,126.939842,신촌동,서대문구
137, 신촌기차역입구 교차로 ,10,37.556812,126.943183,신촌동,서대문구
138, 신촌동 제1공영주차장 앞 ,10,37.559177,126.934524,신촌동,서대문구
139, 연세대 정문 건너편 ,10,37.559864,126.934417,신촌동,서대문구
140, 이화여대 후문 ,22,37.560009,126.940734,신촌동,서대문구
141, 연대 대운동장 옆 ,10,37.562381,126.932647,신촌동,서대문구
142, 아현역 4번출구 앞 ,11,37.557201,126.955665,아현동,마포구
143, 공덕역 2번출구 ,9,37.544578,126.950218,아현동,마포구
144, 공덕역 8번출구 ,10,37.543579,126.951324,공덕동,마포구
145, 공덕역 5번출구 ,9,37.54425,126.951637,공덕동,마포구
146, 마포역 2번출구 뒤 ,12,37.539936,126.945823,용강동,마포구
147, 마포역 4번출구 뒤 ,7,37.539272,126.945915,도화동,마포구
148, 용강동 주민센터 앞 ,11,37.542346,126.943023,용강동,마포구
150, 서강대역 2번출구 앞 ,15,37.552955,126.934341,대흥동,마포구
153, 성산2교 사거리 ,10,37.564697,126.912612,성산1동,마포구
154, 마포구청역  ,13,37.560909,126.905494,망원2동,마포구
155, 가좌역1 번출구 앞 ,15,37.568294,126.915046,성산2동,마포구
156, 서울서부지방법원 앞 ,10,37.549331,126.954917,공덕동,마포구
157, 애오개역 4번출구 앞 ,12,37.553001,126.956687,공덕동,마포구
159, 이대역 4번 출구 ,5,37.556953,126.946342,신촌동,서대문구
160, 북아현동 가구거리 ,13,37.557548,126.959381,북아현동,서대문구
161, 무악재역1번 출구 ,8,37.582244,126.950645,홍제2동,서대문구
162, 봉원고가차도 밑 ,15,37.566261,126.94667,신촌동,서대문구
163, 명지전문대학교 정문 앞 ,6,37.583698,126.924964,홍은2동,서대문구
164, 북가좌1동 주민센터  ,10,37.574478,126.910049,북가좌1동,서대문구
165, 중앙근린공원 ,20,37.575138,126.91394,북가좌1동,서대문구
166, 가재울 초등학교 ,20,37.573818,126.919235,남가좌1동,서대문구
167, 연가초등학교 옆 ,15,37.57946,126.917129,북가좌2동,서대문구
169, 북가좌 삼거리 ,10,37.573001,126.907798,북가좌1동,서대문구
170, DMC파크뷰자이아파트 302동 앞 ,10,37.573112,126.922447,남가좌2동,서대문구
171, 임광빌딩 앞 ,10,37.564723,126.967277,충현동,서대문구
173, 서대문역 8번출구 앞 ,8,37.564777,126.966148,충현동,서대문구
175, 홍연2교옆 ,20,37.578067,126.930885,홍은2동,서대문구
176, 명지대학교 도서관 ,10,37.581096,126.924026,남가좌2동,서대문구
177, 북가좌 초등학교 ,8,37.577636,126.909652,북가좌1동,서대문구
178, 증산3교 앞 ,10,37.579875,126.906349,북가좌1동,서대문구
179, 가좌역 4번출구 앞 ,14,37.568775,126.915298,남가좌1동,서대문구
180, 충정로역 7번출구 아래 ,10,37.559967,126.962463,충현동,서대문구
181, 망원초록길 입구 ,15,37.551342,126.902671,망원1동,마포구
182, 망원2빗물펌프장 앞 ,9,37.551364,126.90306,합정동,마포구
183, 하늘채코오롱아파트 건너편 ,15,37.565387,126.919326,연남동,마포구
184, 7번가피자 서교망원점 ,8,37.558948,126.907752,성산1동,마포구
185, 마포 신수공원 앞 ,15,37.542545,126.934295,신수동,마포구
186, 월드컵공원 ,40,37.563964,126.898208,성산2동,마포구
188, 홍은동 정원여중 입구 ,9,37.586387,126.935127,홍은2동,서대문구
191, 서우빌딩 ,10,37.578891,126.910736,북가좌2동,서대문구
192, 연서어린이공원 ,10,37.572227,126.923065,연희동,서대문구
194, 증산교 앞 ,10,37.577316,126.902969,북가좌1동,서대문구
195, 모래내고가차도  ,10,37.567657,126.917808,연희동,서대문구
198, 충정2교 ,15,37.562137,126.963775,충현동,서대문구
199, 서울 월드컵 경기장 ,30,37.566844,126.896446,성산2동,마포구
200, 국회의원회관 ,18,37.528415,126.913917,여의동,영등포구
201, 진미파라곤 앞 ,15,37.531238,126.921333,여의동,영등포구
202, 국민일보 앞 ,30,37.528816,126.92453,여의동,영등포구
203, 국회의사당역 3번출구 옆 ,15,37.528057,126.918701,여의동,영등포구
204, 국회의사당역 5번출구 옆 ,13,37.528163,126.917022,여의동,영등포구
205, 산업은행 앞 ,20,37.526264,126.920509,여의동,영등포구
206, KBS 앞 ,35,37.524665,126.918022,여의동,영등포구
207, 여의나루역 1번출구 앞 ,46,37.527156,126.9319,여의동,영등포구
209, 유진투자증권빌딩 앞 ,12,37.524612,126.927833,여의동,영등포구
213, KT앞 ,19,37.521907,126.918952,여의동,영등포구
214, 금융감독원 앞 ,21,37.523021,126.920837,여의동,영등포구
215, 여의도고교 앞 ,10,37.524837,126.934906,여의동,영등포구
217, NH농협은행 앞 ,15,37.522079,126.930366,여의동,영등포구
219, 롯데캐슬엠파이어 옆 ,12,37.520694,126.925834,여의동,영등포구
220, 미성아파트 A동 앞 ,30,37.519363,126.926048,여의동,영등포구
221, 여의도초교 앞 ,10,37.522674,126.937789,여의동,영등포구
222, 시범아파트버스정류장 옆 ,12,37.51902,126.936889,여의동,영등포구
223, 진주아파트상가 앞 ,20,37.51913,126.933372,여의동,영등포구
224, 롯데캐슬 앞 ,20,37.520088,126.932365,여의동,영등포구
225, 앙카라공원 앞 ,26,37.517585,126.929618,여의동,영등포구
226, 샛강역 1번출구 앞 ,19,37.517765,126.928413,여의동,영등포구
227, 양평2나들목 보행통로 입구 ,20,37.544666,126.888359,양평2동,영등포구
228, 선유도역 3번출구 앞 ,10,37.538459,126.894508,양평2동,영등포구
229, 양평1 보행육교 앞 ,25,37.535873,126.892181,양평2동,영등포구
230, 영등포구청역 1번출구 ,13,37.524635,126.896217,당산1동,영등포구
231, 남부고용노동지청 남측 ,10,37.524505,126.891822,양평1동,영등포구
232, 양평우림 이비즈센타 앞 ,20,37.52565,126.887817,양평1동,영등포구
233, 양평1동 YP센터 앞 ,10,37.528488,126.891647,양평1동,영등포구
235, 신길동 우리은행 옆 ,10,37.504566,126.910232,신길3동,영등포구
236, 문래동자이아파트 앞 ,10,37.516155,126.894615,문래동,영등포구
237, 보라매 두산위브 건너편 ,20,37.496513,126.914802,신대방2동,동작구
238, 제2구민체육센타 앞 ,10,37.526386,126.902755,당산2동,영등포구
239, 유스호스텔 앞 ,20,37.525852,126.903282,영등포동,영등포구
240, 문래역 4번출구 앞 ,10,37.518737,126.895576,문래동,영등포구
